product_key,search_query,brand,model,capacity,storage_type,form_factor,interface,shopee_query,ads_count,best_price_brl,avg_price_brl,max_price_brl,total_sold,max_rating,total_reviews,best_title,best_url,best_mlb_id,source_pages,grouped_titles
memoria|ram|ddr5|4800mhz|samsung|16gb,memoria ram ddr5,Samsung,,16GB,,,,Samsung 16GB,1,1270.0,1270.0,1270.0,50,,0,Memória RAM Notebook 16gb Ddr5 4800Mhz Samsung Sodimm M425R2GA3BB0-CQK,https://www.mercadolivre.com.br/memoria-ram-notebook-16gb-ddr5-4800mhz-samsung-sodimm-m425r2ga3bb0-cqk/p/MLB51913807#polycard_client=search-desktop&be_origin=backend&search_layout=grid&position=33&type=product&tracking_id=48b89447-4a5c-4062-8d59-b966655ad596&wid=MLB4462284965&sid=search,MLB4462284965,4,Memória RAM Notebook 16gb Ddr5 4800Mhz Samsung Sodimm M425R2GA3BB0-CQK
memoria|sodimm|ddr5|4800|crucial|16gb,memoria ram ddr5,Crucial,,16GB,,,,Crucial 16GB,1,1297.0,1297.0,1297.0,500,,0,Memoria Sodimm Ddr5-4800 Crucial De 16 Gb,https://www.mercadolivre.com.br/memoria-sodimm-ddr5-4800-crucial-de-16-gb/p/MLB37925510#polycard_client=search-desktop&be_origin=backend&search_layout=grid&position=29&type=product&tracking_id=56117de3-36d7-4e30-9300-18626952aaf7&wid=MLB6391130600&sid=search,MLB6391130600,2,Memoria Sodimm Ddr5-4800 Crucial De 16 Gb
memoria|ram|ddr5|5600mhz|samsung|16gb,memoria ram ddr5,Samsung,,16GB,,,,Samsung 16GB,1,1298.0,1298.0,1298.0,0,,0,Memória Ram Ddr5 16gb 5600mhz Samsung Notebook S/ Embalagem,https://www.mercadolivre.com.br/memoria-ram-samsung-16gb-ddr5-5600mhz-sodimm-notebook/p/MLB2079763118#polycard_client=search-desktop&be_origin=backend&search_layout=grid&position=23&type=product&tracking_id=56117de3-36d7-4e30-9300-18626952aaf7&wid=MLB6851845014&sid=search,MLB6851845014,2,Memória Ram Ddr5 16gb 5600mhz Samsung Notebook S/ Embalagem
adata|legend 860|500gb|nvme,ssd nvme,Adata,Legend 860,500GB,NVMe,M.2,PCIe,Adata Legend 860 500GB NVMe M.2,1,1299.0,1299.0,1299.0,50,,0,SSD Adata Legend 860 500GB M.2 PCIe NVMe para PS5,https://www.mercadolivre.com.br/ssd-adata-legend-860-500gb-m2-pcie-nvme-para-ps5/p/MLB47583329#polycard_client=search-desktop&be_origin=backend&search_layout=grid&position=33&type=product&tracking_id=3ddcd777-34ac-4f74-8626-8356dfaaeff6&wid=MLB6890201458&sid=search,MLB6890201458,7,SSD Adata Legend 860 500GB M.2 PCIe NVMe para PS5
memoria|ram|para|kingston|ddr5|16gb,memoria ram ddr5,Kingston,,16GB,,,,Kingston 16GB,1,1299.0,1299.0,1299.0,0,,0,Memória RAM para notebook Kingston Ddr5 16gb Pc5 4800 Cl40 Sodimm,https://www.mercadolivre.com.br/memoria-ram-para-notebook-kingston-ddr5-16gb-pc5-4800-cl40-sodimm/p/MLB25705667#polycard_client=search-desktop&be_origin=backend&search_layout=grid&position=31&type=product&tracking_id=48b89447-4a5c-4062-8d59-b966655ad596&wid=MLB4786364031&sid=search,MLB4786364031,4,Memória RAM para notebook Kingston Ddr5 16gb Pc5 4800 Cl40 Sodimm
memoria|ram|ddr5|sodimm|adata|16gb,memoria ram ddr5,Adata,,16GB,,,,Adata 16GB,1,1300.0,1300.0,1300.0,0,1.1,0,"Memória RAM Ddr5 Sodimm Adata 16gb 5600mhz Pc5-44800 1,1 v",https://www.mercadolivre.com.br/memoria-ram-ddr5-sodimm-adata-16gb-5600mhz-pc5-44800-11-v/p/MLB41380173#polycard_client=search-desktop&be_origin=backend&search_layout=grid&position=37&type=product&tracking_id=56117de3-36d7-4e30-9300-18626952aaf7&wid=MLB4797413351&sid=search,MLB4797413351,2,"Memória RAM Ddr5 Sodimm Adata 16gb 5600mhz Pc5-44800 1,1 v"
kingsto|flash|1tb,ssd nvme,,,1TB,NVMe,,,kingsto flash 1tb NVMe,1,1305.0,1305.0,1305.0,0,,0,Ssd Nvme 1tb Kingsto Flash Gamer,https://www.mercadolivre.com.br/ssd-nvme-1tb-kingsto-flash-gamer/up/MLBU3914511621#polycard_client=search-desktop&be_origin=backend&search_layout=grid&position=5&type=product&tracking_id=e70ccd18-2b1e-41a6-8cf8-ea0040015140&wid=MLB4630769725&sid=search,MLB4630769725,8,Ssd Nvme 1tb Kingsto Flash Gamer
memoria|ram|ddr5|5600mhz|sodimm|16gb,memoria ram ddr5,,,16GB,,,,memoria ram ddr5 5600mhz,1,1306.0,1306.0,1306.0,100,,0,Memoria Ram Ddr5 16gb 5600mhz Notebook Sodimm (s/ Embalagem),https://www.mercadolivre.com.br/memoria-ram-ddr5-16gb-5600mhz-notebook-sodimm-s-embalagem/p/MLB65843019#polycard_client=search-desktop&be_origin=backend&search_layout=grid&position=30&type=product&tracking_id=5d5dc4a3-5a6e-4338-97b3-629ff4d24a24&wid=MLB4543411777&sid=search,MLB4543411777,1,Memoria Ram Ddr5 16gb 5600mhz Notebook Sodimm (s/ Embalagem)
memoria|sodimm|adata|ddr5|5600mhz|16gb,memoria ram ddr5,Adata,,16GB,,,,Adata 16GB,1,1320.0,1320.0,1320.0,0,,0,Memória Sodimm Adata 16gb Ddr5 5600mhz Notebook Oem S/nf,https://www.mercadolivre.com.br/memoria-sodimm-adata-16gb-ddr5-5600mhz-notebook-oem-snf/up/MLBU4033930855#polycard_client=search-desktop&be_origin=backend&search_layout=grid&position=53&type=product&tracking_id=70662bf6-14e9-4cf5-bdcf-bb1c5b632811&wid=MLB6888671464&sid=search,MLB6888671464,8,Memória Sodimm Adata 16gb Ddr5 5600mhz Notebook Oem S/nf
memoria|adata|5600mhz|1|1v|16gb,memoria ram ddr5,Adata,,16GB,,,,Adata 16GB,1,1343.0,1343.0,1343.0,1000,,0,Memória Adata 16gb 5600mhz 1.1v Ddr5 Notebook Laptop Cl46,https://www.mercadolivre.com.br/memoria-adata-16gb-5600mhz-11v-ddr5-notebook-laptop-cl46/p/MLB28159696#polycard_client=search-desktop&be_origin=backend&search_layout=grid&position=57&type=product&float_highlight=last_unit&tracking_id=5d5dc4a3-5a6e-4338-97b3-629ff4d24a24&wid=MLB4359545835&sid=search,MLB4359545835,1,Memória Adata 16gb 5600mhz 1.1v Ddr5 Notebook Laptop Cl46
